id,first,last,org,coauthors,title,abstract,type,orgc,name2,org2,orgc2,ID,session,day,order,room,talk_order,time
NA,Cheng Soon,Ong,CSIRO and ANU,NA,On Finding Good Experiments,"One of the key choices we have as scientists is to design informative experiments. With computational methods like AI promising accurate predictions, we revisit the question of adaptively designing new measurements that take previous data into account. Using examples from genomics, we illustrate some recent ideas on using machine learning to recommend experiments. Then we discuss potential impacts on choosing measurements in spatiotemporal problems. We conclude by outlining some opportunities and challenges of including machine learning in the scientific discovery process.",keynote,CSIRO,NA,NA,NA,NA,T0A,2,0,A,1,9:00
29,Martin,Huang,The University of Sydney,"Samuel Muller, Garth Tarr",Data-Adaptive Automatic Threshold Calibration for Stability Selection,"Stability selection has gained popularity as a method for enhancing the performance of variable selection algorithms while controlling false discovery rates. However, achieving these desirable properties depends on correctly specifying the stable threshold parameter, which can be challenging. An arbitrary choice of this parameter can substantially alter the set of selected variables, as the variables' selection probabilities are inherently data-dependent. To address this issue, we propose Exclusion Automatic Threshold Selection (EATS), a data-adaptive algorithm that streamlines stability selection by automating the threshold specification process. EATS initially filters out potential noise variables using an exclusion probability threshold, derived from applying stability selection to a randomly shuffled version of the dataset. Following this, EATS selects the stable threshold parameter using the elbow method, balancing the marginal utility of including additional variables against the risk of selecting superfluous variables. We evaluate our approach through an extensive simulation study, benchmarking across commonly used variable selection algorithms and static stable threshold values.",talk,USYD,NA,NA,NA,C28,T1A,2,1,A,1,10:00
34,Rajan,Shankar,The University of Sydney,Tanya Garcia and Garth Tarr,Variable Selection in a Joint Model for Huntington's Disease Data,"Huntington's disease is a neurodegenerative disease caused by a defective Huntingtin gene, with symptoms that progressively worsen and eventually lead to a clinical diagnosis. Identifying the clinical and demographic factors that influence symptom severity and time-to-diagnosis is critical for understanding disease progression so that early-intervention strategies can be timely implemented. We propose a joint model to relate symptom severity $y$ and time-to-diagnosis $x$, conditional on clinical and demographic predictor variables $\mathbf{z}$. However, it may be that certain predictor variables are important for $y$ but not for $x$ and vice-versa, so we use regularisation techniques to select different sets of predictor variables for $y$ and $x$. Since $x$ is a time-to-event variable, there is the added challenge that many of its values are right-censored due to individuals who did not develop the disease during the study. Therefore, to fit the joint model, we apply the expectation-maximisation (EM) algorithm to alternate between parameter estimation and imputation of the right-censored values until convergence. We demonstrate our method on Huntington's disease patient data, showcasing how users can choose appropriate values for the regularisation tuning parameters.",talk,USYD,NA,NA,NA,C31,T1A,2,1,A,2,10:00
73,Yidi,Deng,"Melbourne Integrative Genomics; Department of Anatomy and Physiology, The University of Melbourne; Research School of Finance, Actuarial Studies and Statistics, The Australian National University","Jiadong Mao, Jarny Choi, Kim-Anh Le Cao","StableMate: a regression framework for selecting stable predictors across heterogeneous data environments

","Inferring reproducible relationships between biological variables remains a challenge in the statistical analysis of omics data where p > 10,000 and n < 500. Methods that identify statistical associations lack interpretability or reproducibility. We can address these limitations by inferring stable associations that are robust to external perturbation on the data. Stable associations can be an implication in causality since causal relationships are necessarily stable in some sense (Pearl et al. 2009). Unstable associations can also be of interests in certain biological applications to study functional heterogeneity in a biological system.

We developed a new regression framework, StableMate based on the concept of stabilised regression (SR), which utilise heterogenous data to enforce stability (Pfister et al. 2021). Given datasets generated from different environments, such as experiments or disease states, StableMate 1. identifies stable predictors with consistent functional dependency with the response across environments. 2. builds a robust regression model with stable predictors to enforce generalisable prediction in unseen environments. The ultimate aim is to build selection ensembles. However, unlike SR that selects stable predictors by performing stability tests on every possible predictor subset, StableMate optimizes efficiency with a greedy search based on our improved stochastic stepwise selection algorithm. In a simulation study, we show that StableMate outperformed SR for both variable selection and prediction and significantly reduces running time. In three case studies of cancer with different omics data types, we show that StableMate can also address a wide range of biological questions.
",talk,ANU,NA,NA,NA,C60,T1A,2,1,A,3,10:00
31,Sarah,Croft,University of Otago,"Jamie Sanderlin, Michael Black, Richard Barker and Matthew Schofield",Estimating abundance in small populations using pedigree reconstruction,"Accurate measures of abundance are essential for successful monitoring of animal populations,
and for assessing the efficacy of conservation interventions. In previous work, genotypic information
has been incorporated into Mark-Recapture models to enable the identification of individuals, as well
as determination of kinship between observed individuals in Close-Kin Mark-Recapture (CKMR)
models. Generally, CKMR models make large sample assumptions limiting their application to
many endangered and at-risk species.
We have developed Bayesian methodology to estimate population abundance and dynamics for
small, isolated populations using pedigree reconstruction. The true underlying pedigree completely
describes the abundance and population structure over time, however the true relationships between
individuals in wild populations are rarely known. Given a set of observed genotypes, along with
supplementary data, our methodology is able to successfully reconstruct the pedigree without the
need for large sample assumptions. Prior knowledge of the mating structure and reproductive
dynamics of the population can also be incorporated in the model. In this talk I will present
our pedigree reconstruction approach for population estimation using dead recovery data, and will
discuss the challenges associated with the full pedigree approach.",talk,University of Otago,NA,NA,NA,C4,T1B,2,1,B,1,10:00
63,Sean A.,Martin,QUT School of Mathematics/SAEF,"Leah South, Zachary T. Carter, Michael Bode",Accounting for heterogeneous detection rates when inferring eradication of an invasive species,"Eradication of invasive species from islands is an expensive but often crucial activity for maintaining the ecosystems of these islands. A key challenge in limiting the costs of an eradication campaign is knowing the size of the remaining population of invasive animals; this information informs both ongoing resource planning and when to end a campaign. Campaign progress is measured by the decline in detections of the target species. However, detection of a population is imperfect and highly variable, obscuring the true rate of decline. As a result, uncertainty arises when detections cease - have all individuals truly been eradicated, or do some remain undetected? Statistical models have been developed to infer eradication success based on a record of detections (sighting records), however, most models ignore natural heterogeneity in detectability. 
Our work examines the influence of variance in detection rates on the false positive and false negative error rates of hypothetical eradication campaigns and relates this to overall costs of island conservation. We use a combination of Bayesian likelihood and likelihood-free models to overcome simultaneous inference limits on abundance and detectability within this highly stochastic study system.",talk,QUT School of Mathematics/SAEF,NA,NA,NA,C51,T1B,2,1,B,2,10:00
84,Nokuthaba,Sibanda,Victoria University of Wellington,NA,Zero-inflated Tweedie distribution for abundance of rare ecological species,"Abundance data for rare species can be extremely zero-inflated, where percentage of zeros can be over 90%. This poses a challenge even for the standard Tweedie model which naturally allows for a probability mass at zero with continuous non-negative values. We investigate use of a zero-inflated Tweedie distribution when modelling non-negative continuous abundance values with zeros for rare species. Despite their significance, research on zero-inflated models has predominantly focused on count models such as zero-inflated Poisson or negative binomial regressions, with only recent studies exploring zero-inflated Tweedie models in insurance claims (Zhou, Qian, and Yang 2022; Gu2024; So and Valdez 2024; So and Deng 2025).

The zero-inflated Tweedie model uses a mixture model approach that integrates a Tweedie model with a binary model to distinguish between excess zeros - those resulting from an independent process, and true zeros those resulting from the Tweedie model itself. We use a Bayesian approach to estimate the model parameters. We model means of the Tweedie model using a log-link function with covariates and unobserved random effects. The spatial association between observations is accounted for using a conditionally auto-regressive prior.",talk,Victoria University of Wellington,NA,NA,NA,C9,T1B,2,1,B,3,10:00
5,Alec B. M.,van Helsdingen,University of Auckland,Charlotte M. Jones-Todd,Extending Spatial Capture-Recapture with the Hawkes Process,"Spatial capture-recapture (SCR) is a well-established method used to estimate animal population size from animal sighting or trapping data. Standard SCR methods assume animal movements are independent and consequently cannot incorporate site fidelity (attachment to a particular region) nor the temporal correlation of an animal’s location. Recent work has sought to solve these issues by explicitly modelling animal movement.

In this talk we propose an alternative solution for camera trapping surveys based on a multivariate self-exciting Hawkes process. Here the rates of detection of a given animal at a given camera are a function of not only the location and its proximity to the animal’s activity center, but also where and when the animal was most recently detected.

Through a mixture of Gaussian distributions, our model expects more detections closer in space to the last detection, and reduces to SCR when an animal is yet to be detected. This formulation, we believe, better reflects animal behaviour because shortly after detection, we expect to see an individual close to where it was last seen. Thus, our model allows us to account for both site fidelity and the inherent temporal correlation in detections that have not previously been accounted for in SCR-type models.

In this talk, I will 1) give an overview of Self-Exciting Spatial Capture-Recapture (SESCR) models, and 2) demonstrate the additional inference that can be drawn from such models and 3) apply the framework using a few case studies to compare traditional SCR and SESCR.",talk,Auckland,NA,NA,NA,C14,T2A,2,2,A,1,11.15
41,Kunihiko,Takahashi,Institute of Science Tokyo,Hideyasu Shimadzu,A Test for Detecting Multiple Clusters with Hotspot Spatial Properties,"Various statistical tests have been widely used in spatial epidemiology to investigate regional patterns in disease occurrence, particularly to assess whether disease risk is significantly elevated in specific areas compared to neighboring regions or adjacent time periods. One such method is the cluster detection test (CDT), which identifies non-random spatial distributions of diseases and highlights high-prevalence regions without prior assumptions. Among CDT methods, scan statistics are compelling and use a maximum likelihood framework to search across spatial and/or temporal windows for potential clusters. Examples include Kulldorff’s circular scan statistic and the flexibly shaped scan statistic by Tango and Takahashi. More recently, Takahashi and Shimadzu proposed a scan-based method that simultaneously detects multiple clusters by integrating generalized linear models and an information criterion to determine the optimal number of clusters. Traditional scan-based tests often assume that disease risk is uniformly elevated within a single cluster. However, they may mistakenly combine multiple adjacent hotspots—each with potentially different risk levels—into one, thereby masking meaningful spatial heterogeneity. In this study, we propose a new test procedure that more accurately identifies adjacent hotspot clusters as distinct entities. Our approach enhances the scan statistic framework by incorporating Cochran’s Q-statistic to assess heterogeneity within clusters. We demonstrate the effectiveness of the proposed method through real-world applications and compare its performance with conventional scan-based tests.",talk,Institute of Science Tokyo,NA,NA,NA,C37,T2A,2,2,A,2,11.15
44,Garth,Tarr,The University of Sydney,"Rajan Shankar, Ines Wilms and Jakob Raymaekers",Outlier-robust estimation of state-space models using a penalised approach,"State-space models are a broad class of statistical models for time-varying data. The Gaussian distributional assumption on the disturbances in the model leads to poor parameter estimates in the presence of additive outliers. Whilst there are ways to mitigate the influence of outliers via traditional robust estimation methods such as M-estimation, this issue is approached from a more modern perspective that utilises penalisation. A shift parameter is introduced at each timepoint, with the goal being that outliers receive a non-zero shift parameter while clean timepoints receive a zero shift parameter after estimation. The vector of shift parameters is penalised to ensure that not all shift parameters are trivially non-zero. Apart from making it feasible to fit accurate and reliable time series models in the presence of additive outliers, other benefits of this approach include automatic outlier flagging and visual diagnostics to provide researchers and practitioners with better insights into the outlier structure of their data. We will demonstrate the utility of this method on animal tracking data.",talk,USYD,NA,NA,NA,C40,T2A,2,2,A,3,11.15
50,Michio,Yamamoto,The University of Osaka / RIKEN AIP / Shiga University,"Tatsuhiko Anzai, Kunihiko Takahashi",Disease cluster detection via functional additive models incorporating spatial correlation,"Detecting spatial clusters of diseases is crucial for understanding disease patterns and developing effective prevention and treatment strategies. Spatial scan statistics are powerful tools for detecting spatial clusters with a variable scanning window size. If covariates are related to an outcome and not geographically randomly distributed, searching for spatial clusters may require adjusting for the covariates. In addition, spatial correlation in the outcome, which is often overlooked during cluster detection, can affect the results. In this study, we propose a new spatial scan statistic that handles multiple functional covariates indicating past information over time and the spatial correlation of the outcome. Our method flexibly models these factors in the framework of functional additive models. We develop an optimization algorithm to estimate the model parameters for the normal outcome case. A simulation study and real data analysis indicate that the proposed method can detect disease clusters despite longitudinal covariates and spatial correlations compared to existing methods.",talk,The University of Osaka / RIKEN AIP / Shiga University,NA,NA,NA,C44,T2A,2,2,A,4,11.15
22,Adele,Jackson,ABARES,Belinda Barnes and Mahdi Parsa,Group Sampling with Imperfect Testing for Biosecurity Applications,"Group sampling, also known as pooled or batch sampling, is a standard technique in biological sciences and the health sector to use limited resources efficiently. Common objectives include detecting pest species and inferring prevalence of disease in communities, livestock or wildlife. The purpose of this paper is to support the design of robust group sampling strategies when testing processes are imperfect. We formulate analytical distributions and statistics for grouped hypergeometric sampling and its binomial approximation that incorporate a variety of types of imperfect test. These include tests that respond to the presence or absence of contaminated material in a group, as well as PCR and serological testing processes where sensitivity depends on the number of contaminated items in each group. We also formulate the Hellinger information of a sampling scheme, which allows us to develop group sampling design strategies that increase the accuracy of inferred prevalence. This is an essential component in decision-making during outbreaks of disease and in operational biosecurity applications. Based on this work, we estimate leakage through a grouped sampling scheme and show how accounting for leakage can alter sampling strategies and improve risk management decisions.",talk,ABARES,NA,NA,NA,C23,T2B,2,2,B,1,11.15
